"","indicbinary","actual","predict","number"
"1",0,0,0,217
"2",0,0,2,58
"3",0,0,3,62
"4",0,0,4,90
"5",0,0,5,80
"6",0,0,6,54
"7",0,0,7,51
"8",0,0,10,30
"9",0,0,12,13
"10",0,0,15,13
"11",0,0,18,18
"14",1,2,2,8
"20",1,3,2,12
"21",1,3,3,6
"27",1,4,2,4
"28",1,4,3,12
"34",1,5,2,4
"35",1,5,3,6
"36",1,5,4,6
"37",1,5,5,8
"41",1,6,2,4
"42",1,6,3,4
"45",1,6,6,10
"46",1,6,7,2
"48",1,7,2,2
"51",1,7,5,4
"53",1,7,7,8
"55",1,7,9,2
"56",1,8,2,2
"57",1,8,5,4
"59",1,8,7,4
"60",1,8,8,4
"61",1,8,9,2
"62",1,9,6,2
"63",1,9,7,2
"65",1,9,9,4
"66",1,10,5,2
"67",1,10,7,2
"68",1,10,10,5
"69",1,10,12,1
"70",1,11,6,2
"72",1,11,8,1
"74",1,11,10,3
"75",1,11,12,3
"76",1,12,2,2
"77",1,12,10,2
"78",1,12,11,2
"79",1,12,12,2
"80",1,12,14,1
"81",1,13,10,1
"82",1,13,13,1
"83",1,14,10,1
"84",1,14,11,1
"85",1,14,14,2
"86",1,15,9,1
"87",1,15,17,1
"88",1,16,10,1
"89",1,16,13,2
"90",1,16,16,3
"91",1,17,15,1
"92",1,18,18,1
"93",1,20,19,1
